"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
CENTRAL COMERCIO DE BEBIDAS & CONVENIENCIA LTDA - ME;CENTRAL CONVENIÊNCIA;"11.181.421/0001-82";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Bar;79.290.000;MS;Bonito;Bonito;RUA CEL PILAD REBUA, 1663;(67) 3255-1113;;central.conveniencia@hotmail.com;;;"12.051574.15.0001-0";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";200;Nenhuma das Opções
PRAÇA XV BUFFET LTDA - ME;PRAÇA XV GRILL;"93.064.988/0001-33";Sociedade Simples;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;90.020.080;RS;Porto Alegre;Centro;PC QUINZE DE NOVEMBRO  42  SLJ  CENTRO HISTÓRICO;(51) 3286-3961;;jo@pracaxvbuffet.com.br;celioernesto@gmail.com;;"23.084940.15.0001-0";"5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Primário), 5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";200;Espanhol ,Italiano
SABOR RIO MAR RESTAURANTE LTDA - ME;SABOR RIO MAR;"23.694.798/0001-14";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;78.050.000;MT;Cuiabá;Bosque da Saúde;AV. HISTORIADOR RUBENS DE MENDONÇA, 3300, SALA 3012, SHOPPING PANTANAL;(65) 9973-2457;(66) 3565-2753;clodoaldojf@hotmail.com;;;"13.075725.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;Nenhuma das Opções
G R G RESTAURANTE LTDA - ME;BISTROGONOFF RESTAURANTE;"09.429.599/0001-58";Sociedade Empresária;"05/03/2008";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;62.598.000;CE;Jijoca de Jericoacoara;Jijoca de Jericoacoara;TRAVESSA EDVAR ESMERINO, 60 - VILA DE JERICOACOARA;(85) 99988-5121;;xamppoojeri@hotmail.com;;;"06.032896.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";46;Espanhol ,Francês ,Inglês
SEO BRAZIL BAR & RESTAURANTE LTDA - ME;SEO BRAZIL;"25.006.567/0001-04";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Bar;88.085.420;SC;Florianópolis;Itaguaçu;RUA EUCLIDES DA CUNHA, 16;(48) 9926-9558;;botecoseobrazil@gmail.com;;;"24.079585.15.0001-1";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";90;Espanhol ,Inglês
VALE DA SERRA ALIMENTOS E BEBIDAS LTDA - ME;CONVENIÊNCIA VALE DA SERRA;"03.921.524/0001-03";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Cafeteria;78.600.000;MT;Barra do Garças;Barra do Garças;AV. ANA IZABEL BARBOSA AGUIAR, 1552-A, CIDADE VELHA;(66) 3401-2009;(66) 3401-2490;valedaserra@uol.com.br;;;"13.062597.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";50;Nenhuma das Opções
MOISES DE OLIVEIRA - ME;ESPETINHO DO CUNHADO;"08.940.237/0001-64";Empresário Individual (Não MEI);;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Bar;75.804.055;GO;Jataí;Samuel Grahan;RUA RIO VERDE Nº 2026  SAMUEL GRAHAM;(64) 9907-6445;(64) 3636-8539;moisestxu@hotmail.com;;;"09.075908.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Secundário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";240;Nenhuma das Opções
C A E - SERVIÇOS GASTRONOMICOS E EVENTOS LTDA - EPP;C A E  - SERVIÇOS E EVENTOS;"14.376.253/0001-79";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;56.304.610;PE;Petrolina;Centro;RUA OLIMPIO VIRGINIO , N° 88 , 7° ANDAR;(87) 2101-3777;;reservas@jbhotel.com.br;;;"16.067841.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5620-1/02-SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ (Secundário)";120;Nenhuma das Opções
ALDEIA CHOPERIA LTDA - ME;ALDEIA CHOPERIA;"12.029.821/0001-30";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;76.270.000;GO;Jussara;Jussara;AV ALMIRANTE SALDANHA  N 50 QD 03 LT 5/6 SL 01/02 VILA REBOUÇAS;(62) 3373-2558;;lanchoneteterrasanta@hotmail.com;;;"09.055545.15.0001-8";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";176;Nenhuma das Opções
BASSI & GAGNO LTDA-ME;CAFE 262 RESTAURANTE E CAFETERIA;"20.584.485/0001-15";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;29.278.000;ES;Aracê;Aracê;RODOVIA BR 262, KM 95 - FAZENDA DO ESTADO;(27) 3248-1131;;comercialcafe262@gmail.com;;;"08.080923.15.0001-9";"5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Primário)";80;Espanhol ,Inglês
ROSALI ESTEVES PEDREIRA - ME;MAR VIRADO SORVETES ;"01.832.836/0001-15";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;11.680.000;SP;Ubatuba;Ubatuba;AV MARGINAL, 382 - BALNEARIO SANTA CRUZ;(12) 3843-1280;(11) 5594-1686;marviradosorteve@uol.com.br;sorveteriamarvirado@hotmail.com;www.sorveteriamarvirado.com.br;"26.077986.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";160;Inglês
MARIA LUIZA FERRINI PIERUCCI-ME;RESTAURANTE E HOTEL JOELHO DE PORCO;"03.008.808/0001-03";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;37.640.000;MG;Extrema;Extrema;R.BENJAMIM CONSTANT, 74;(35) 3435-2886;;contato@restaurnatejoelhodeporco.com.br;;;"11.089404.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";40;Nenhuma das Opções
SUPERMERCADO  PAIVA  LTDA - ME;SUPERMERCADO  PAIVA;"06.292.545/0001-03";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Cafeteria;38.610.000;MG;Unaí;Unaí;RUA  DULCE  TORRES  BROCHADO, Nº 2138 - PRIMAVERA;(38) 3677-3897;(38) 3676-3725;armazempaiva@gmail.com;;;"11.084015.15.0001-4";"5611-2/03-LANCHERIA; SERVIÇO DE ALIMENTAÇÃO (Primário)";50;Nenhuma das Opções
BAR E RESTAURANTE JARDIM DA PENHA LTDA;VITÓRIA BURGER;"39.332.770/0002-58";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Bar;29.055.620;ES;Vitória;Praia do Canto;RUA JOÃO DA CRUZ, 290;(27) 3315-0018;;adm@barabertura.com.br;;;"08.036036.15.0002-4";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário), 5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Secundário), 5311-2/02-CHOPERIA COM SERVIÇO COMPLETO (Secundário)";320;Nenhuma das Opções
VALDOMIRO GONÇALVES SANTOS;AGUAS THERMAIS RESTAURANTE;"11.938.494/0001-76";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;73.740.000;GO;Colinas do Sul;Colinas do Sul;FAZ GO 239 FAZENDA MORRO VERMELHO SN ZONA RURAL;(62) 9669-1585;;catcolinasdosul@gmail.com;;;"09.058495.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5590-6/03-PENSÃO COM SERVIÇO DE ALIMENTAÇÃO; SERVIÇO DE ALOJAMENTO (Secundário)";32;Nenhuma das Opções
R DE C RODRIGUES RESTAURANTE - ME;R DE C RODRIGUES RESTAURANTE - ME ;"02.876.940/0001-74";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;12.830.000;SP;São José do Barreiro;São José do Barreiro;PRAÇA CORONEL CUNHA LARA, N° 61 - B ;(12) 3117-1317;;ranchosjb@hotmail.com;;;"26.087684.15.0001-8";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";150;Inglês
FCL COMÉRCIO DE ALIMENTOS LTDA - ME;PEIXE NA REDE PATIO BRASIL;"22.487.858/0001-65";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;70.307.902;DF;Brasília;Asa Sul;ST SCS QD. 07 BLOCO A LOJA 3P 3 PAVIMENTO PARTE LOJA P313 ;(61) 3327-3369;;rjsc1977@hotmail.com;;;"07.077361.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";400;Inglês
POUSADA GOYAZES LTDA-ME;POUSADA GOYAZES;"17.645.088/0001-00";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;76.600.000;GO;Goiás;Goiás;R DAVINOPOLIS 14 SETOR RIO BACALHAU ;(62) 9631-1940;;gonzagavitaleconsultoria@gmail.com;;;"09.078435.15.0001-7";"5510-8/01-HOTEL (Primário), 5590-6/02-CAMPING; SERVIÇO DE ALOJAMENTO (Secundário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";46;Nenhuma das Opções
GESTÃO PAES BRANDÃO LTDA-EPP;MAIKAI CHOPARIA  SHOW BAR;"04.676.343/0001-21";Sociedade Empresária;"01/11/2001";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Bar;57.036.550;AL;Maceió;Jatiúca;AV. ENG. PAULO BRANDÃO NOGUEIRA, S/N, Q 14 LT 18;(82) 3305-4400;(82) 3305-4402;financeiro@maikaimaceio.com.br;;WWW.MAIKAIMACEIO.COM.BR;"02.030943.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;Espanhol
MARIA APARECIDA DE CARVALHO BAR E RESTAURANTE ME;BAR DO HELIO;"04.110.402/0001-08";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;23.968.000;RJ;Ilha Grande;Ilha Grande;PRAIA DE JAPARIZ Nº 17;(24) 3365-3904;;aparecida.ruy@gmail.com;;;"19.083388.15.0001-7";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";250;Inglês
N.M.PEREIRA DE ARAUJO-ME;HOTEL E RESTAURANTE PARAISO;"17.323.303/0001-48";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.935.000;AC;Assis Brasil;Assis Brasil;RUA:ENEIDA BATISTA,S/Nº CENTRO;(68) 3548-1367;;restauranteparaiso@hotmail.com;;;"01.055112.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";60;Nenhuma das Opções
SANTAMARIA EMPREENDIMENTOS HOTELEIROS LTDA;IPE GOLDEN HOTEL;"13.014.822/0001-73";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;75.709.010;GO;Catalão;Nossa Senhora de Fátima;RUA MANDAGUARI Nº 177;(64) 3441-3787;;ericaueg@yahoo.com.br;;;"09.051618.15.0001-8";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";80;Espanhol ,Inglês
TALISMA PALLACE HOTEL E SERVICOS LTDA.;TALISMA PALLACE HOTEL;"12.045.434/0001-97";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;58.884.000;PB;Catolé do Rocha;Catolé do Rocha;AV VENANCIO NEIVA, 1532 - 1º ANDAR;(83) 3441-1960;(83) 3441-1198;jpatricio.axiole@gmail.com;;;"15.044010.15.0001-0";"5510-8/01-HOTEL (Primário), 5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";40;Nenhuma das Opções
CLEBESON NUNES DOS SANTOS 84822368220;BAR FREE GELO - ME;"19.474.088/0001-01";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Bar;68.710.000;PA;Maracanã;Maracanã;AV. BERTOLDO COSTA( ORLA MARÍTIMA), S/Nº;(91) 98855-8602;;freegelo.me@gmail.com;;;"14.074520.15.0001-3";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";10;Nenhuma das Opções
NC INTERCAMBIO E TURISMO LTDA;NC INTERCAMBIO E TURISMO;"13.642.354/0001-81";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;37.010.600;MG;Varginha;Vila Pinto;RUA AMADO MELO, 25;(35) 3212-4054;;contato@uaisushi.com.br;;www.ieintercambio.com.br;"11.050541.15.0001-2";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";130;Japonês
HOTEL E RESTAURANTE PILAO LTDA - ME;HOTEL E RESTAURANTE PILÃO;"43.051.903/0001-04";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;18.320.000;SP;Apiaí;Apiaí;AVENIDA DUQUE DE CAXIAS, 84;(15) 3552-1429;;renatomilanelias@yahoo.com.br;;;"26.088102.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5510-8/01-HOTEL (Secundário)";60;Nenhuma das Opções
ÁREA DE LAZER RECANTO DAS ÁGUAS LTDA - ME;LAZER DIVERSÕES;"11.603.348/0001-90";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;63.308.000;CE;Quitaiús;Quitaiús;RUA PASSOS DAS ÁGUAS 10 - VILA PASSOS FELIZ;(88) 99827-3119;(88) 3536-5013;franciana.pf@hotmail.com;osmar.alvesdasilva@yahoo.com.br;;"06.063314.15.0001-0";"5611-2/01-ROTISSERIA; SERVIÇO DE ALIMENTAÇÃO (Primário), 5590-6/99-DORMITÓRIO; SERVIÇO DE ALOJAMENTO (Secundário), 5590-6/02-CAMPING; SERVIÇO DE ALOJAMENTO (Secundário), 9319-1/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE EVENTOS ESPORTIVOS; SERVIÇOS DE (Secundário), 9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário), 7721-7/00-MATERIAIS E EQUIPAMENTOS ESPORTIVOS; ALUGUEL DE, LOCAÇÃO DE (Secundário), 9329-8/99-PEDALINHOS; LOCAÇÃO DE (Secundário)";300;Nenhuma das Opções
GASTRONOMIA MARIA ANTONIETA EIRELI;MARIA ANTONIETA;"10.472.979/0001-54";Empresa Individual (EIRELI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.036.000;AL;Maceió;Jatiúca;AV DR ANTÔNIO GOMES DE BARROS Nº 150;(82) 3202-8828;;breno-gama@uol.com.br;;wwwmariaantonieta-al.com.br;"02.084721.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";350;Inglês
AMERICA PUB ENTRETENIMENTO LTDA - ME;THE PUB;"07.237.306/0001-05";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Bar;74.810.200;GO;Goiânia;Jardim Goiás;RUA 52 QD. B21 LT 22 SN CPU 64A;(62) 3281-4308;;finan@thrpubgyn.com.br;;;"09.083448.15.0001-6";"8230-0/02-CASAS DE FESTA E EVENTOS (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";50;Nenhuma das Opções
L R PIZZARIA LTDA;L R PIZZARIA LTDA;"23.057.134/0001-44";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;59.290.000;RN;São Gonçalo do Amarante;São Gonçalo do Amarante;RUA DAS AMAPOLAS, 03 - LOTE 03 - QUADRA 05 - LOTEAMENTO CIDADE DAS ROSAS;(84) 3664-7777;(84) 98881-2686;tomattocidadedasrosas@hotmail.com;;;"20.075975.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";240;
JACIARA CARVALHO BEZERRA AGUIAR - ME;SUB WAY;"04.800.310/0001-41";Empresário Individual (Não MEI);"09/12/2003";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.480.000;AL;Delmiro Gouveia;Delmiro Gouveia;AV. PRESID. CASTELO BRANCO, 166 - CENTRO;(82) 3641-1881;(82) 3641-2098;jcarvalhoaguiar@bol.com.br;;;"02.085243.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";36;
LUIZ C.GOMES COSTELARIA-ME;REAL COSTELARIA;"23.396.266/0001-09";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;38.180.400;MG;Araxá;AEROPORTO;AV. MINST. OLAVO DRUMMOND,935;(34) 8830-2248;;contato@realcostelaria.com.br;;;"11.075788.15.0001-0";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";92;
PONTO GRILL SELF SERVICE E CHURRASCARIA LTDA-ME;PONTO GRILL SELF SERVICE E CHURRASCARIA LTDA-ME;"14.484.872/0001-87";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;29.162.710;ES;Serra;PLANALTO DE CARAPINA;RUA  GRAÇA  ARANHA, 28;(27) 3067-8989;;sc_contabil@yahoo.com.br;;;"08.074772.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário), 5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Secundário)";190;Nenhuma das Opções
S.D. ROCHA - ME;LANCHONETE E  CAFÉ DA MANHÃ NATURALÍSSIMA;"03.616.785/0001-10";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.980.000;AC;Cruzeiro do Sul;Cruzeiro do Sul;AV. GETÚLIO VARGAS, 20 - CENTRO;(68) 3322-2570;;tenvander@hotmail.com;;;"01.049367.15.0001-4";"5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Primário)";48;
SÂMIA EZEQUIEL DA SILVA - ME;RESTAURANTE, POUSADA E LANCHONETE BOM JESUS;"11.736.370/0001-08";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.700.000;AL;Viçosa;Viçosa;RUA EPAMINONDAS GRACINDO,  03;(82) 3283-1126;;samiaezequiel@hotmail.com;;;"02.049760.15.0001-7";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário), 5510-8/01-HOTEL (Secundário)";40;Nenhuma das Opções
LUELMA RESTAURANTE LTDA - ME;RESTAURANTE BOA MESA;"08.704.493/0001-52";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;74.993.170;GO;Aparecida de Goiânia;Jardim Eldorado;RUA TIMBIRAS SN QD. 26 LT 01 E GALPÃO 04 JARDIM ELDORADO;(62) 9971-2398;(62) 3545-9254;luca_gireh@hotmail.com;;;"09.074890.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5620-1/02-BUFE; SERVIÇOS DE ALIMENTAÇÃO (Secundário)";64;Nenhuma das Opções
REAL PRIVÊ SHOWS E EVENTOS LTDA - ME;REAL PRIVÊ;"10.977.895/0001-72";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;74.912.651;GO;Aparecida de Goiânia;Granjas Reunidas Nossa Senhora de Lourdes;BR 153 KM 11 S/N QUADRA AREA LOTE 0C;(62) 3249-4747;(62) 3282-4398;realprive@uol.com.br;;;"09.053521.15.0001-7";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";20;Nenhuma das Opções
VILSON DA COSTA - ME;HOTEL E RESTAURANTE STOP;"73.840.530/0001-11";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;78.450.000;MT;Nova Mutum;Nova Mutum;AV. PERIMETRAL DAS SAMABAIAS, 884W;(65) 3308-2867;;afiscontab@gmail.com;;;"13.082410.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";80;Nenhuma das Opções
IRMAO YAGI LTDA-ME;JACAREI PASTEIS ESPECIAIS;"19.419.370/0001-96";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;74.210.245;GO;Goiânia;Setor Bueno;AV T-3 2293 QD: 101 LT: 10 ESQUINA COM RUA  T-55;(62) 3233-1220;;adm@jacareipasteis.com.br;;;"09.074104.15.0001-6";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";40;Nenhuma das Opções
DEGUSTE DRESSING RESTAURANTE LTDA;SAPARE & DEGUSTE DRESSING;"11.099.609/0001-86";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;39.100.000;MG;Diamantina;Diamantina;RUA DO ALECRIM, 33;(38) 3531-1030;(38) 8829-1314;netopedro@gmail.com;;;"11.081147.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";40;Nenhuma das Opções
EURICO PADILHA DA CRUZ -ME;RESTAURANTE PINGO DE OURO;"10.853.242/0001-81";Sociedade Empresária;"27/05/2009";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;78.460.000;MT;Nobres;Nobres;RUA PORTO PUBLICO, Nº 4, CENTRO;(65) 3376-2978;;euricopadilha@hotmail.com;;;"13.035059.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";92;Nenhuma das Opções
RMD EMPREENDIMENTOS TURISTICOS E HOTELEIRO LTDA;POUSADA E RESTAURANTE PAI THOMAZ;"21.749.664/0001-28";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;44.300.000;BA;Cachoeira;Cachoeira;RUA 25 DE JUNHO, Nº 12;(75) 3425-2718;;pousadapaithomaz@gmail.com;;www.pousadapaithomaz.com.br;"05.076147.15.0001-5";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";120;Nenhuma das Opções
RESTAURANTE E PIZZARIA TIO DEMO SAM LTDA - EPP;RESTAURANTE E PIZZARIA TIO DEMO SAM LTDA - EPP;"09.151.240/0001-61";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;11.680.000;SP;Ubatuba;Ubatuba;AV MARGINAL, 858;(12) 3842-4240;;marcos.tiosam@gmail.com;;;"26.076853.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";200;Nenhuma das Opções
A. GUILHERME IMP & EXP - ME;RESTAURANTE ARENA DO APETITE;"15.338.675/0001-12";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.934.000;AC;Epitaciolândia;Epitaciolândia;AV. SANTOS DUMONT, 679 - CENTRO;(68) 3546-4873;;aristondm2010@gmail.com;;;"01.065683.15.0001-3";"5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";40;Nenhuma das Opções
SHAKABRAH BAR E RESTAURANTE LTDA - EPP;SHAKABRAH BAR E RESTAURANTE LTDA - EPP;"60.757.291/0001-99";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;11.600.000;SP;São Sebastião;PORTO GRANDE;RUA DOS NAVEGANTES, N°542;(12) 3865-6468;(11) 2244-6272;terralmaresias@uol.com.br;beatriz.jesus@grupoaguia.com.br;;"26.071790.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";128;Inglês
CHOOP  SETE  LTDA.  -  ME;COOP 7;"05.934.903/0001-63";Sociedade Simples;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;35.700.312;MG;Sete Lagoas;Canaã;AV  RENATO  AZEREDO,  Nº 49 - A  -  CANAÃ;(31) 3776-5094;;fredfrango7@gmail.com;;;"11.082615.15.0001-8";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";100;Nenhuma das Opções
HOTEL FARIA E SPA;HOTEL FARIA E SPA;"14.916.739/0001-52";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;38.700.126;MG;Patos de Minas;Centro;AVENIDA GETULIO VARGAS,333;(34) 3825-2345;(34) 3825-2345;fratele@fratele.com.br;;;"11.050507.15.0001-0";"5510-8/01-HOTEL (Primário), 5620-1/01-CATERING; SERVIÇO DE ALIMENTAÇÃO  (Secundário), 5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS, SERVIÇOS DE (Secundário)";50;Espanhol ,Francês ,Inglês
J. A. ALENCAR PARAISO-ME;RESTAURANTE PARAISO;"11.495.581/0001-04";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;77.370.000;TO;Natividade;Natividade;RODOVIA NATIVIDADE ALMAS, KM 05;(63) 9213-6002;(63) 9213-6002;jaalencaarparaiso@gmail.com;;;"27.076973.15.0001-4";"5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Primário)";50;Nenhuma das Opções
JOANA APARECIDA PETROZZIELLO - ME;RESTAURANTE E PIZZARIA BORGHESE;"10.159.163/0001-75";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;11.250.000;SP;Bertioga;Bertioga;RUA GONÇALO DA COSTA, 455;(13) 3317-2133;;ediborghese@gmail.com;;www.borghesebertioga.com.br;"26.075096.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;Nenhuma das Opções
